"","mavgs","lags","sdcorr","meancorr","mediancorr"
"59","3","16",0.190481681679132,-0.131564870098227,-0.0906448748987756
"60","3","17",0.210714062936687,-0.231087308462108,-0.235044492277607
"61","3","18",0.206378603131727,-0.264502123505997,-0.272565527277035
"62","3","19",0.230456760686913,-0.199829965600167,-0.143600275130582
"63","3","20",0.321095912807832,-0.146156474453008,-0.0613783176558879
"64","4","0",0.340534707962792,-0.0415453918295209,-0.109397573466376
"65","4","1",0.348126598506234,-0.0383477761217151,-0.0873120981759291
"66","4","2",0.340168472256781,-0.00946815506195673,-0.0598417559625746
"67","4","3",0.263113052380535,-0.0413131267761076,-0.063196646999567
"68","4","4",0.282161658944659,-0.0190184376829139,0.0389053714490558
"69","4","5",0.278180543612931,-0.0363951158058518,-0.0831932203876302
"70","4","6",0.281694796679189,-0.0494112405337563,-0.0746181042291439
"71","4","7",0.319426286201329,-0.0155260852300016,-0.0242968640887182
"72","4","8",0.326558420397899,-0.0270931949499995,-0.101810067792371
"73","4","9",0.314577158550591,-0.0583524392646232,-0.140423656053787
"74","4","10",0.333697651813003,-0.104677572160845,-0.155374800329128
"75","4","11",0.354824378511435,-0.0879153183146719,-0.0983575335356621
"76","4","12",0.400577840562925,-0.0749017335578249,-0.0369653220326958
"77","4","13",0.389436055224859,-0.0298843415665471,0.00479050768717509
"78","4","14",0.395854291658683,-0.0826477779260877,0.0223832356809499
"79","4","15",0.35020858101359,-0.180754408746631,-0.225494532896499
"80","4","16",0.234042189157446,-0.213290123880521,-0.224055246533206
"81","4","17",0.220940263012166,-0.272411371518064,-0.290039734192144
"82","4","18",0.209979290162401,-0.265245868313066,-0.324798104331472
"83","4","19",0.279765833076384,-0.203649370607273,-0.211980117632252
"84","4","20",0.354093469541987,-0.174014613474499,-0.132256317751789
"85","5","0",0.351736189809826,-0.0438992483879513,-0.10452199638826
"86","5","1",0.368683788479404,-0.0313312124262325,-0.0507933827547022
"87","5","2",0.33123053151323,-0.0529918080252772,-0.117153337315823
"88","5","3",0.273571924617497,-0.0380116972947774,-0.01849499069009
"89","5","4",0.254796132265143,-0.0330739358476092,-0.00308382886501714
"90","5","5",0.313953838189188,-0.025750239192394,-0.0389148740227329
"91","5","6",0.31148576292576,-0.0392744882333001,-0.0728381133236727
"92","5","7",0.354624511373547,-0.0164249264121819,-0.053048776746582
